Year,quarter,ukos,mode,purpose,package,Age,Sex,duration,Expected spend,country,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,55-64,Male,4-13 nights,240.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,55-64,Female,4-13 nights,461.95,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,65 & over,Female,1-3 nights,200.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,16-24,Male,1-3 nights,129.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,16-24,Female,1-3 nights,323.93,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,16-24,Female,4-13 nights,221.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,16-24,Female,6 months-year,4756.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,25-34,Male,4-13 nights,375.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,25-34,Female,1-3 nights,171.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,35-44,Male,4-13 nights,567.03,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,45-54,Female,4-13 nights,482.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Male,4-13 nights,612.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Female,4-13 nights,399.70,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,65 & over,Male,4-13 nights,205.94,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,16-24,Female,1-3 nights,467.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,35-44,Male,1-3 nights,351.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,35-44,Male,4-13 nights,400.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,45-54,Male,1-3 nights,404.95,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,45-54,Male,4-13 nights,550.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,55-64,Male,4-13 nights,1200.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Study,Non-Independent,16-24,Female,4-13 nights,109.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent, 0-15,Female,4-13 nights,50.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Male,1-3 nights,50.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Male,1-3 nights,72.44,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Female,1-3 nights,130.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Female,4-13 nights,227.22,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Male,4-13 nights,650.00,Czech Republic,,,,
